Designator,Mid X,Mid Y,Rotation,Layer
C1,158.6375,-79.75,90.0,top
C10,160.4375,-75.25,270.0,top
C11,157.0375,-80.65,270.0,top
C12,157.0375,-83.65,90.0,top
C2,167.8375,-89.25,180.0,top
C21,149.400002,-93.95,0.0,top
C22,181.050001,-86.45,270.0,top
C23,173.150002,-92.55,0.0,top
C3,162.7375,-76.0,0.0,top
C4,171.9375,-79.9,270.0,top
C6,167.7375,-91.25,180.0,top
C7,158.6375,-84.25,90.0,top
C8,157.9375,-88.25,180.0,top
C9,157.9375,-91.45,180.0,top
D1,149.95,-76.5,0.0,top
D2,149.965,-74.95,0.0,top
D3,149.965,-73.42,0.0,top
F1,179.250001,-82.75,0.0,top
FB1,160.7375,-89.85,270.0,top
J2,187.015,-78.35,90.0,top
J3,148.3,-82.32,180.0,bottom
J4,175.05,-74.45,270.0,top
J5,162.18,-94.15,90.0,top
R1,165.05,-75.25,270.0,top
R2,166.6,-75.25,270.0,top
R3,168.15,-75.25,270.0,top
R4,186.375,-85.275,90.0,top
R5,187.95,-85.275,270.0,top
R6,153.05,-74.95,180.0,top
R7,153.05,-76.5,180.0,top
R8,153.05,-73.4,180.0,top
R9,184.825,-85.275,90.0,top
U1,165.3,-82.9,270.0,top
U2,149.350001,-91.2,0.0,top
U3,175.350001,-87.75,0.0,top
U5,179.05,-79.1375,0.0,top
Y1,154.3375,-81.95,90.0,top
